"channel_from","channel_to","transition_probability"
"(start)","NP",0.258099352051836
"(start)","FB",0.337473002159827
"(start)","Tw",0.10475161987041
"(start)","TV",0.109071274298056
"(start)","R",0.19060475161987
"NP","(conversion)",0.465079365079365
"NP","Tw",0.155555555555556
"NP","R",0.257142857142857
"NP","TV",0.122222222222222
"FB","(conversion)",0.3424
"FB","Tw",0.1216
"FB","NP",0.2432
"FB","R",0.184
"FB","TV",0.1088
"Tw","(conversion)",1
"TV","(conversion)",0.739268680445151
"TV","Tw",0.260731319554849
"R","(conversion)",0.406349206349206
"R","TV",0.447619047619048
"R","Tw",0.146031746031746
